drug_id,generic_name,molecular_formula,molecular_weight,smiles
566,cefuroxime axetil,C20H22N4O10S,510.5,CC(OC(=O)C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CC=CO3)COC(=O)N
605,chloroprocaine,C13H19ClN2O2,270.75,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl
957,doxercalciferol,C28H44O2,412.6,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
1247,fosphenytoin,C16H15N2O6P,362.27,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3
1349,ulobetasol propionate,C25H31ClF2O5,485.0,CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)CCl
1611,loteprednol etabonate,C24H31ClO7,466.9,CCOC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C(=O)OCCl
1933,nilutamide,C12H10F3N3O4,317.22,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C
2066,paricalcitol,C27H44O3,416.6,CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C
2713,tranexamic acid,C8H15NO2,157.21,C1CC(CCC1CN)C(=O)O
3016,oxybuprocaine,C17H28N2O3,308.4,CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N
4113,prasugrel,C20H20FNO3S,373.4,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4
4180,fidaxomicin,C52H74Cl2O18,1058.0,CCC1C=C(C(CC=CC=C(C(=O)OC(CC=C(C=C(C1OC2C(C(C(C(O2)(C)C)OC(=O)C(C)C)O)O)C)C)C(C)O)COC3C(C(C(C(O3)C)OC(=O)C4=C(C(=C(C(=C4O)Cl)O)Cl)CC)O)OC)O)C
4493,alclometasone dipropionate,C28H37ClO7,521.0,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC
4470,fosaprepitant,C23H22F7N4O6P,614.4,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NN(C(=O)N3)P(=O)(O)O)C4=CC=C(C=C4)F
5010,lumacaftor,C24H18F2N2O5,452.4,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O
5027,rolapitant,C25H26F6N2O2,500.5,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OCC2(CCC3(CCC(=O)N3)CN2)C4=CC=CC=C4
5300,talazoparib tosylate,C26H22F2N6O4S,552.6,CC1=CC=C(C=C1)S(=O)(=O)O.CN1C(=NC=N1)C2C(NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F
5376,remdesivir,C27H35N6O8P,602.6,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4
3097,choline,C5H14NO+,104.17,C[N+](C)(C)CCO
375,bisacodyl,C22H19NO4,361.4,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
3658,xylometazoline,C16H24N2,244.37,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
1736,methanthelinium,C21H26NO3+,340.4,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13
1116,etretinate,C23H30O3,354.5,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C
3070,articaine,C13H20N2O3S,284.38,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC
4166,ulipristal,C28H35NO3,433.6,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O
2130,phenindione,C15H10O2,222.24,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
1710,mesalazine,C7H7NO3,153.14,C1=CC(=C(C=C1N)C(=O)O)O
2786,tyrosine,C9H11NO3,181.19,C1=CC(=CC=C1CC(C(=O)O)N)O
2144,phenylalanine,C9H11NO2,165.19,C1=CC=C(C=C1)CC(C(=O)O)N
4619,levomenol,C15H26O,222.37,CC1=CCC(CC1)C(C)(CCC=C(C)C)O
186,amodiaquine,C20H22ClN3O,355.9,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
195,amfetamine,C9H13N,135.21,CC(CC1=CC=CC=C1)N
4128,valine,C5H11NO2,117.15,CC(C)C(C(=O)O)N
2523,sulfaphenazole,C15H14N4O2S,314.4,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
875,diethylstilbestrol,C18H20O2,268.3,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
880,diflunisal,C13H8F2O3,250.20,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
2036,oxyphenbutazone,C19H20N2O3,324.4,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
4,levobupivacaine,C18H28N2O,288.4,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
30,methoxsalen,C12H8O4,216.19,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
5302,lorlatinib,C21H19FN6O2,406.4,CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C
1780,metixene,C20H23NS,309.5,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
1771,methylprednisolone succinate,C26H34O8,474.5,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)O)O
2434,sertaconazole,C20H15Cl3N2OS,437.8,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl
